pid, bhid, bhhsize, bage, doby, bsex, race, racel, yr2uk4, bmastat, bnchild, bnkids, bnch02, bnch34, bnch511, bnch1215, bjbstat, degree, resp_sec_5cat_b, parent_sec_5cat_b, bvote1, bvote2, bvote4, bvote5, bvote6, bvote7, bvote8, borgm, borgma, borgmb, borgmj, borgaf, borgmg, 
76634772, 82820374, 6, 43, 1948, male, white, white br, inapplic, married, 1, 1, 1, none, none, 1, employed, 0, II/IIIa, II/IIIa, no, yes, conserva, not very, fairly i, no, conserva, yes, not ment, not ment, member s, not ment, not ment, 
82784873, 82820374, 6, 42, 1949, female, white, white br, inapplic, married, 1, 1, 1, 1, none, none, ft studt, 0, V/VI, VII/IIIb, yes, inapplic, conserva, fairly s, fairly i, no, conserva, yes, not ment, member t, not ment, not ment, not ment, 
97816117, 82820374, 6, 20, 1971, female, white, white br, inapplic, living a, 0, 1, 1, none, none, 1, unemploy, 0, VII/IIIb, II/IIIa, yes, inapplic, conserva, fairly s, fairly i, can't vo, conserva, yes, not ment, not ment, not ment, not ment, not ment, 
56946188, 82820374, 6, 19, 1973, male, white, white br, inapplic, living a, 0, 1, 1, none, none, 1, self-emp, 0, II/IIIa, IV, yes, inapplic, conserva, fairly s, not very, can't vo, conserva, yes, not ment, member t, not ment, not ment, not ment, 
12906279, 82820374, 6, 17, 1975, female, white, white br, inapplic, never ma, 0, 1, 1, none, none, 1, employed, 1, II/IIIa, IV, proxy re, proxy re, none, not at  a, very int, no, inapplic, no, not ment, not ment, not ment, not ment, not ment, 
35724097, 31350381, 2, 64, 1928, male, white, white br, inapplic, married, 0, none, none, none, none, none, retired, 0, V/VI, II/IIIa, no, yes, conserva, not very, fairly i, no, conserva, yes, member p, not ment, not ment, not ment, not ment, 
1164253, 31350381, 2, 58, 1934, female, white, inapplic, 1954, married, 0, none, none, none, none, none, retired, 1, II/IIIa, V/VI, missing, missing, none, not at  a, fairly i, no, conserva, yes, not ment, not ment, not ment, not ment, not ment, 
39135895, 79720557, 1, 24, 1968, male, white, white br, inapplic, never ma, 0, none, none, none, none, none, employed, 1, I, I, no, yes, lib dem, not very, not very, no, lib dem, no, not ment, not ment, not ment, not ment, not ment, 
73844150, 20000050, 2, 62, 1930, female, white, white br, inapplic, married, 0, none, none, none, none, none, retired, 0, V/VI, V/VI, yes, inapplic, labour, fairly s, not very, no, labour, yes, not ment, not ment, not ment, not ment, not ment, 
8504187, 20000050, 2, 61, 1931, male, white, white ir, inapplic, married, 0, none, none, none, none, none, retired, 1, V/VI, IV, yes, inapplic, labour, very str, fairly i, no, labour, no, not ment, not ment, not ment, not ment, not ment, 
82926066, 69531064, 3, 22, 1970, female, white, inapplic, inapplic, never ma, 2, 2, 2, none, 1, none, family c, 0, IV, VII/IIIb, no, no, none, fairly s, not at a, can't vo, labour, no, not ment, not ment, not ment, not ment, not ment, 
5785919, 32410139, 2, 24, 1968, male, white, inapplic, inapplic, living a, 0, none, none, none, none, none, ft studt, 0, V/VI, I, yes, inapplic, labour, fairly s, very int, no, labour, yes, not ment, member t, not ment, not ment, not ment, 
54436137, 32410139, 2, 20, 1972, female, white, white br, 1979, living a, 0, none, none, none, none, none, ft studt, 0, VII/IIIb, I, yes, inapplic, labour, fairly s, fairly i, yes, inapplic, yes, not ment, not ment, not ment, not ment, not ment, 
2233886, 68860172, 1, 71, 1921, female, white, inapplic, inapplic, widowed, 0, none, none, none, none, none, retired, 0, V/VI, V/VI, yes, inapplic, labour, not very, very int, no, labour, no, not ment, not ment, not ment, not ment, not ment, 
25044891, 11771077, 4, 42, 1950, male, white, inapplic, inapplic, married, 2, 2, 2, none, none, 2, employed, 0, V/VI, V/VI, no, yes, labour, not very, fairly i, can't vo, labour, yes, not ment, member t, member s, not ment, not ment, 
88205028, 11771077, 4, 39, 1952, female, white, inapplic, inapplic, married, 2, 2, 2, none, none, 2, employed, 0, I, IV, no, no, none, not at  a, not very, no, labour, yes, not ment, not ment, not ment, active r, not ment, 
72004011, 30720961, 1, 67, 1925, male, other et, white ir, 1960, widowed, 0, none, none, none, none, none, family c, 0, V/VI, IV, no, yes, lib dem, not very, very int, can't vo, labour, yes, member p, not ment, not ment, not ment, not ment, 
60614297, 74690540, 3, 57, 1935, male, white, white br, inapplic, married, 0, none, none, none, none, none, self-emp, 0, IV, V/VI, yes, inapplic, labour, very str, very int, can't vo, labour, no, not ment, not ment, not ment, not ment, not ment, 
23134607, 74690540, 3, 48, 1944, male, white, inapplic, inapplic, married, 0, none, none, none, none, none, employed, 1, IV, V/VI, yes, inapplic, lib dem, not very, fairly i, can't vo, lib dem, yes, not ment, not ment, not ment, active r, not ment, 
93405976, 74690540, 3, 23, 1969, male, white, inapplic, inapplic, never ma, 0, none, none, none, none, none, employed, 1, II/IIIa, II/IIIa, yes, inapplic, labour, fairly s, very int, can't vo, lib dem, yes, not ment, not ment, member s, not ment, not ment, 
37824313, 39270834, 4, 55, 1936, male, black-ot, inapplic, 1957, living a, 0, none, none, none, none, none, family c, 0, VII/IIIb, IV, yes, inapplic, labour, not very, fairly i, can't vo, labour, yes, not ment, not ment, not ment, active r, not ment, 
9705946, 39270834, 4, 23, 1968, female, black-ot, inapplic, inapplic, never ma, 0, none, none, none, none, none, unemploy, 0, V/VI, V/VI, no, yes, labour, fairly s, fairly i, no, labour, no, not ment, not ment, not ment, not ment, not ment, 
25644661, 72271196, 2, 46, 1945, male, white, inapplic, inapplic, married, 0, none, none, none, none, none, self-emp, 0, IV, II/IIIa, proxy re, proxy re, none, not at  a, not at a, can't vo, labour, no, not ment, not ment, not ment, not ment, not ment, 
63664720, 72271196, 2, 45, 1947, female, white, white br, inapplic, married, 0, none, none, none, none, none, employed, 0, II/IIIa, V/VI, no, yes, lib dem, not very, fairly i, can't vo, labour, yes, not ment, member t, not ment, not ment, not ment, 
98285136, 69030887, 4, 37, 1955, male, white, white br, inapplic, married, 2, 2, 2, none, none, 2, employed, 0, VII/IIIb, VII/IIIb, no, no, none, not at  a, not at a, can't vo, labour, yes, not ment, not ment, member s, not ment, not ment, 
44325501, 69030887, 4, 31, 1961, female, white, white br, inapplic, married, 2, 2, none, none, 2, 2, family c, 0, VII/IIIb, V/VI, no, yes, labour, not very, not very, can't vo, labour, no, not ment, not ment, not ment, not ment, not ment, 
56854830, 61611154, 4, 42, 1949, female, white, white br, inapplic, married, 0, none, none, none, none, none, maternit, 1, V/VI, IV, no, no, none, not at  a, not very, yes, inapplic, no, not ment, not ment, not ment, not ment, not ment, 
32314831, 61611154, 4, 42, 1949, female, white, inapplic, inapplic, married, 0, none, none, none, none, none, employed, 0, V/VI, V/VI, proxy re, proxy re, none, not very, not at a, yes, inapplic, no, not ment, not ment, not ment, not ment, not ment, 
51936088, 61611154, 4, 21, 1971, male, white, inapplic, inapplic, never ma, 0, none, none, none, none, none, employed, 0, V/VI, II/IIIa, proxy re, proxy re, none, not at  a, not at a, yes, inapplic, no, not ment, not ment, not ment, not ment, not ment, 
24676222, 61611154, 4, 18, 1974, male, white, inapplic, inapplic, never ma, 0, none, none, none, none, none, unemploy, 0, V/VI, V/VI, no, no, none, not at  a, not very, yes, inapplic, no, not ment, not ment, not ment, not ment, not ment, 
8493886, 8510172, 1, 71, 1921, female, white, inapplic, inapplic, widowed, 0, none, none, none, none, none, retired, 0, V/VI, V/VI, yes, inapplic, labour, not very, very int, can't vo, labour, no, not ment, not ment, not ment, not ment, not ment, 
77645590, 82090018, 1, 28, 1963, female, white, white br, inapplic, never ma, 0, none, none, none, none, none, employed, 0, II/IIIa, II/IIIa, no, no, none, not at  a, not very, yes, inapplic, yes, not ment, not ment, member s, not ment, not ment, 
32825780, 1390084, 5, 26, 1966, female, black-ca, inapplic, inapplic, living a, 3, 3, 3, none, 1, 2, self-emp, 1, V/VI, V/VI, no, yes, labour, not very, not at a, yes, inapplic, no, not ment, not ment, not ment, not ment, not ment, 
57973891, 37720702, 2, 71, 1921, male, white, white br, inapplic, married, 0, none, none, none, none, none, retired, 1, II/IIIa, V/VI, no, yes, labour, not very, not very, can't vo, labour, no, not ment, not ment, not ment, not ment, not ment, 
92403942, 37720702, 2, 69, 1923, male, white, inapplic, inapplic, married, 0, none, none, none, none, none, retired, 0, II/IIIa, VII/IIIb, no, yes, labour, not very, not very, no, labour, no, not ment, not ment, not ment, not ment, not ment, 
53314107, 80040779, 2, 63, 1929, female, white, white br, inapplic, married, 0, none, none, none, none, none, self-emp, 1, II/IIIa, VII/IIIb, yes, inapplic, none, not at  a, very int, no, conserva, yes, not ment, member t, not ment, active r, not ment, 
